category,path,purpose
manuscript,sections/main_text.tex,"Results, Discussion, Methods, and S24/S25 citations"
manuscript,sections/supplementary.tex,"Detailed simulation methods and Figure S24 insertion"
table,tables/table_47.tex,"Supplementary Table S25"
figure,figures/figure_s24.svg,"Native 170-mm vector source"
figure,figures/figure_s24.pdf,"LaTeX-facing vector figure"
figure,figures/figure_s24.png,"300-dpi raster companion"
source_data,supplementary_data/locking_rule_simulation/figure_s24_panel_a.csv,"Score-noise and topology panel aggregates"
source_data,supplementary_data/locking_rule_simulation/figure_s24_panel_b.csv,"Tolerance trade-off aggregates"
source_data,supplementary_data/locking_rule_simulation/figure_s24_panel_c.csv,"Candidate-bank-size paired aggregates"
source_data,supplementary_data/locking_rule_simulation/table_s25_primary_summary.csv,"Primary rule summary"
source_data,supplementary_data/locking_rule_simulation/table_s25_regret_audit.csv,"Empirical-regret audit"
source_data,supplementary_data/locking_rule_simulation/table_s25_decision_paths.csv,"Deterministic decision-path summary"
provenance,supplementary_data/locking_rule_simulation/PROVENANCE.json,"Authoritative Drive IDs, workload, engineering note, and claim boundary"
provenance,supplementary_data/locking_rule_simulation/BUILD_MANIFEST.json,"Input and build hashes"
provenance,supplementary_data/locking_rule_simulation/RENDER_MANIFEST.json,"PDF/SVG/PNG render hashes"
validation,supplementary_data/locking_rule_simulation/INTEGRATION_VALIDATION.json,"Machine-readable PASS report"
builder,scripts/build_locking_simulation_s24.py,"Deterministic figure and table builder"
builder,scripts/figure_s24_render_wrapper.html,"Exact SVG-to-PDF render wrapper"
builder,scripts/render_locking_simulation_s24.ps1,"Chrome and Poppler rendering route"
validation,scripts/validate_locking_simulation_s24_integration.py,"Frozen-value and manuscript-integration validator"
manifest,FIGURE_170MM_STYLE_SOURCE_MANIFEST.csv,"S21-S24 style and source rows"
manifest,FIGURE_170MM_STYLE_SOURCE_MANIFEST.md,"Current figure-count and style summary"
manifest,FIGURE_SOURCE_DATA_MANIFEST.csv,"S24 panel-level source mapping"
manifest,FIGURE_GRIDFREE_REPRODUCIBILITY_MANIFEST.json,"S21-S24 builder/source/output hashes"
manifest,MAIN_SUPPLEMENTARY_FIGURE_MAP.md,"S24 placement and role"
report,SIMULATION_SUPPLEMENT_INTEGRATION_REPORT.md,"Integration and validation report"
report,SIMULATION_SUPPLEMENT_CHANGED_FILE_INVENTORY.csv,"Complete integration inventory"
report,V12_CHANGELOG.md,"Current simulation integration history"
report,V12_PROVENANCE_AND_SCOPE.md,"Authorized scope and no-rerun boundary"
report,V12_DISPLAY_CITATION_AUDIT.md,"S24/S25 citation coverage"
report,V12_WORD_AND_DISPLAY_COUNTS.md,"Updated submission-facing word counts"
report,V12_VALIDATION_REPORT.md,"Current build, numbering, numerical, and render validation"
report,V12_CHANGED_FILE_INVENTORY.md,"V12-level file inventory addendum"
report,FINAL_QA_REPORT.md,"Current page counts and full-render QA"
report,FIGURE_GRID_REMOVAL_REPORT.md,"S24 grid-free audit scope"
report,POSTFREEZE_ANALYSIS_REPORT.md,"Historical exclusion statement qualified by later integration"
output,main.pdf,"Rebuilt 16-page main article"
output,supplementary_information.pdf,"Rebuilt 42-page Supplementary Information"
