item,mathematical_statement,implementation_correspondence,test_evidence,status,limitations
"Assumption: finite nonempty bank","Candidate index set is finite and nonempty","locking._validate_candidates rejects an empty sequence; Python sequences are finite in the exercised API","test_empty_candidate_bank_is_rejected","enforced","Resource exhaustion for extremely large finite inputs is outside the theorem"
"Assumption: nonempty feature sets","Jaccard denominators are positive","locking._validate_candidates rejects empty masks and duplicate feature names","test_empty_feature_masks_are_rejected; test_singleton_candidate_bank_is_selected","enforced","The public jaccard helper retains a both-empty convention, but validated locking candidates cannot be empty"
"Assumption: finite scores","Every L_r is finite","locking._validate_candidates applies numpy.isfinite; fold vectors are also validated when present","test_nonfinite_scores_are_rejected","enforced","Floating-point arithmetic is deterministic only for the same software/platform inputs"
"Assumption: larger is better","L_best is a maximum","LockingConfig.metric_orientation must equal larger_is_better; the scoring helper whitelists larger-is-better classification scores","test_lower_is_better_orientation_is_rejected","enforced","Users supplying transformed custom scores remain responsible for semantic correctness"
"Assumption: delta >= 0","Absolute regret tolerance is nonnegative","lock_representative_run rejects negative regret_tolerance","test_negative_delta_is_rejected","enforced","Best-run-SE-scaled thresholds additionally require valid fold scores"
"Assumption: common universe","All masks share one ordered feature universe","candidate_universe is validated across records; pipeline scoring copies the ordered development columns into every candidate","test_inconsistent_candidate_universes_are_rejected","enforced","When no universe is supplied, the direct API derives a sorted union and records it"
"Assumption: canonical mask/hash","Feature order cannot change the mask or digest","locking canonicalizes against the common universe and calls the authoritative genetic_rf._stable_mask_hash SHA-256 rule","test_feature_order_is_canonicalized_before_hashing; test_stable_mask_hash_is_reproducible_across_python_processes","enforced","SHA-256 collision resistance is an engineering assumption; observed unequal-mask collisions are rejected"
"Proposition 1","E_delta is nonempty","The maximum score is computed over a validated nonempty bank; a runtime guard rejects an unexpected empty pool","test_singleton_candidate_bank_is_selected; test_unique_best_candidate_at_zero_tolerance_is_selected","proved and tested","The mathematical proof, not the runtime guard, establishes the property"
"Proposition 2","Selected empirical regret is <= delta","Absolute and relative eligibility use exact comparisons without epsilon expansion; selection never leaves the pool and a postcondition is checked","test_absolute_pool_does_not_apply_hidden_epsilon_relaxation; test_generated_banks_always_select_within_absolute_regret","proved and property-tested","The guarantee concerns the supplied empirical scores only"
"Proposition 3","At delta=0 the pool is exactly the score maximizers","Zero-tolerance pool formation uses exact zero regret; singleton and tied-medoid paths are separate","test_unique_best_candidate_at_zero_tolerance_is_selected; test_exact_best_score_ties_use_zero_regret_pool_medoid","proved and tested","Existing source tables happened to have singleton delta-zero pools; that is empirical, not universal"
"Proposition 4","Large delta yields the full-bank medoid","Every candidate passing the threshold enters the same medoid calculation","test_all_candidates_can_be_eligible","proved and tested","No claim is made that the full-bank medoid has small regret"
"Proposition 5","Selection and complete audit are deterministic","Canonical masks, stable hashes, canonical row ordering, key-sorted JSON, and provenance normalization remove input-row dependence","test_serialization_reload_and_deterministic_audit_reproduction; test_generated_bank_permutations_are_invariant_and_repeated_runs_deterministic","proved and property-tested","Complete audit identity presumes unchanged source-provenance fields and environment-level floating serialization"
"Proposition 6","Candidate-record permutations preserve the selected feature set","Scientific tie keys contain no row position; audit tables are emitted in stable hash/provenance order","test_candidate_record_permutations_preserve_feature_set_and_audit; test_generated_bank_permutations_are_invariant_and_repeated_runs_deterministic","proved and property-tested","Adding or removing a duplicate changes the multiset and is not a permutation"
"Duplicate-mask policy","Duplicate masks remain multiple voting candidates","No deduplication occurs; audit records multiplicity and all source records carrying the selected mask","test_duplicate_masks_are_retained_as_multiple_voting_candidates; test_identical_masks_and_scores_have_one_provenance_record_but_one_feature_set","documented and tested","Lowest source run ID is used only to label one provenance record after feature-set selection"
"Proposition 7","Highest-score, full-medoid, top-k, and regret-medoid rules have different guarantees","Package exposes legacy top_k_jaccard_medoid and upgraded regret_constrained_medoid as separate strategies","test_legacy_top_k_mode_is_explicit_and_deterministic","proved and tested for strategy separation","No strategy is claimed to solve globally optimal feature selection"
"Serialization","Audit survives save and reload","Candidate audit, pairwise table, selected features, and metadata are serializable through CSV/JSON/NPY artifact paths","test_serialization_reload_and_deterministic_audit_reproduction; test_complete_audit_schema_is_exported","tested","CSV type inference may not preserve every pandas dtype exactly; scientific values and identifiers are preserved"
