Figure,Panel,Source script,Source CSV/table,Input artifact,Relevant configuration,Output SVG/PDF/PNG path,Availability note
Figure 1,a,Author-supplied editable artwork,None (conceptual schematic),figures/figure_1_editable_source_v2.svg,Locked split and held-out-feedback safeguards,figures/figure_1.svg; figures/figure_1.pdf; figures/figure_1.png,No participant-level data
Figure 1,b,Author-supplied editable artwork,None (conceptual schematic),figures/figure_1_editable_source_v2.svg,Updated development-only WrapEvoFS workflow,figures/figure_1.svg; figures/figure_1.pdf; figures/figure_1.png,No participant-level data
Figure 2,a,scripts/build_main_figure2.py,revision_outputs/S16_CONDITION_LEVEL_PAIRED.csv,supplementary_data/recommended_mode_120_run/summary/proposed_table_s16_24_conditions.csv,24 matched Small/Reference conditions; original versus updated target deviation,figures/figure_2.svg; figures/figure_2.pdf; figures/figure_2.png,Development-only aggregate data
Figure 2,b,scripts/build_main_figure2.py,revision_outputs/S16_CONDITION_LEVEL_PAIRED.csv,supplementary_data/recommended_mode_120_run/summary/proposed_table_s16_24_conditions.csv,24 matched Small/Reference conditions; original versus updated all-zero generations,figures/figure_2.svg; figures/figure_2.pdf; figures/figure_2.png,Development-only aggregate data
Figure 2,c,scripts/build_main_figure2.py,revision_outputs/S16_CONDITION_LEVEL_PAIRED.csv,supplementary_data/recommended_mode_120_run/authoritative_lock/candidate_locking_audit.csv,Fixed development-CV score difference and selected empirical regret; delta=0.01,figures/figure_2.svg; figures/figure_2.pdf; figures/figure_2.png,Development-only aggregate data
Figure 2,d,scripts/build_main_figure2.py,revision_outputs/ELIGIBLE_POOL_TIE_PATH_AUDIT.csv,supplementary_data/recommended_mode_120_run/authoritative_lock/candidate_locking_audit.csv,Eligible-pool size and deterministic decision stage across 24 conditions,figures/figure_2.svg; figures/figure_2.pdf; figures/figure_2.png,Development-only audit data
Figure 3,a-d,analysis/tcga_matched_comparator_20260813/build_benchmark_outputs.py,supplementary_data/tcga_matched_comparator/oof_metrics.csv; paired_regret_medoid_minus_comparator.csv; random_bank_oof_metric_summary.csv; random_bank_paired_difference_summary.csv; mean_feature_counts.csv,Validated 30-condition checksum-frozen TCGA selector extension,Repeated-OOF primary metric paired effects and performance-compression space,figures/figure_3_strengthened.svg; figures/figure_3_strengthened.pdf; figures/figure_3_strengthened.png,Aggregate internal outer-CV results; protocol SHA c9c808d591918779961a7f236f6beb588c640e1b8932a8b030428f3d988a4ff1
Figure 4,a-d,scripts/build_tcga_nested_figures.py,supplementary_data/tcga_nested_v1_v2/candidate_level_geometry.csv; bank_level_locking_geometry.csv; within_vs_across_agreement.csv; locked_outer_fold_pairs.csv,Verified completed TCGA candidate banks,Regret feasibility representativeness and participant-partition identity sensitivity,figures/figure_4_strengthened.svg; figures/figure_4_strengthened.pdf; figures/figure_4_strengthened.png,Outer-training candidate and aggregate locked-set geometry only
Figure 5,a-b,scripts/build_strengthened_postfreeze_figure.py,supplementary_data/strengthened_main/figure_5_condition_metrics.csv; figure_5_paired_contrasts.csv,Frozen AMP-AD 24-condition post-freeze evaluation,One-time corresponding held-out-center metrics and paired contrasts,figures/figure_5_strengthened.svg; figures/figure_5_strengthened.pdf; figures/figure_5_strengthened.png,Aggregate metrics and intervals only; no participant rows
Supplementary Figure S1,all,analysis/regret_revision/generate_supplementary_revision_figures.py,penalty_flattening_audit.csv,Archived generation-level objective diagnostics,Original-objective zero-truncation mechanism,figures/figure_s17.png,Development-only aggregate data
