condition,Center,Branch,Cap,candidate_bank,locking_rule,held_out_inputs_used,status,selected_run,selected_feature_count,target_deviation,locking_score,selected_regret,eligible_pool_size,selected_mean_jaccard,selected_stable_mask_hash,decision_stage,agrees_with_existing
emory|boruta_rf|reference,Emory,Boruta-RF,Reference-cap,original_objective,original_top_three,False,complete_from_saved_candidates,1,25,0,0.8584641872733197,0.0,3,0.35233918128654973,2c5c109790358396da82b7f69fc511b86cced66b147d15ab77d69340342801f4,unique_jaccard,True
emory|boruta_rf|reference,Emory,Boruta-RF,Reference-cap,original_objective,regret_constrained,False,complete_from_saved_candidates,5,25,0,0.8516546614581927,0.00680952581512706,5,0.36408730158730157,93adfd5526c47ad52e3f2f55358dd1e66a16dd1ef1920910eaeae181967fbc68,unique_jaccard,
emory|boruta_rf|reference,Emory,Boruta-RF,Reference-cap,updated_objective,original_top_three,False,complete_from_saved_candidates,1,25,0,0.8628716536421569,0.0,3,0.30067567567567566,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,unique_jaccard,
emory|boruta_rf|reference,Emory,Boruta-RF,Reference-cap,updated_objective,regret_constrained,False,complete_from_saved_candidates,1,25,0,0.8628716536421569,0.0,3,0.30067567567567566,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,unique_jaccard,True
emory|boruta_rf|low,Emory,Boruta-RF,Small-cap,original_objective,original_top_three,False,complete_from_saved_candidates,3,16,4,0.8447479419565547,0.0028475979813258334,3,0.22916666666666669,c5c6c0da99493654171f2df1ffdd084d27a4b8403692a2c4b084f92537cc2e17,unique_jaccard,True
emory|boruta_rf|low,Emory,Boruta-RF,Small-cap,original_objective,regret_constrained,False,complete_from_saved_candidates,1,14,2,0.8475955399378805,0.0,2,0.25,1f88bc9d334142ac1ac9cf14e94e0fa52d32067e6610b746e2e8a099fea6a069,higher_score,
emory|boruta_rf|low,Emory,Boruta-RF,Small-cap,updated_objective,original_top_three,False,complete_from_saved_candidates,2,12,0,0.8488077350567101,0.0,3,0.19407894736842105,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,higher_score,
emory|boruta_rf|low,Emory,Boruta-RF,Small-cap,updated_objective,regret_constrained,False,complete_from_saved_candidates,2,12,0,0.8488077350567101,0.0,3,0.19407894736842105,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,higher_score,True
emory|svm_l1|reference,Emory,SVM-L1,Reference-cap,original_objective,original_top_three,False,complete_from_saved_candidates,5,19,0,0.8629304181159428,0.00336550950117398,3,0.38227513227513227,e2dc6d24132607c7c13f87e857eeff89e883b88f95e55cc7f41e2c09aff12380,unique_jaccard,True
emory|svm_l1|reference,Emory,SVM-L1,Reference-cap,original_objective,regret_constrained,False,complete_from_saved_candidates,2,19,0,0.8662959276171168,0.0,2,0.4074074074074074,21ef98b273b15baa024df5169256b08b0d7bc15628433a56b4bfd2490e0f70a1,higher_score,
emory|svm_l1|reference,Emory,SVM-L1,Reference-cap,updated_objective,original_top_three,False,complete_from_saved_candidates,5,19,0,0.8608860826345524,0.00834728281765218,3,0.33374384236453203,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,unique_jaccard,
emory|svm_l1|reference,Emory,SVM-L1,Reference-cap,updated_objective,regret_constrained,False,complete_from_saved_candidates,5,19,0,0.8608860826345524,0.00834728281765218,4,0.31138478379857687,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,unique_jaccard,True
emory|svm_l1|low,Emory,SVM-L1,Small-cap,original_objective,original_top_three,False,complete_from_saved_candidates,2,12,2,0.8632976375438399,0.0,3,0.256578947368421,e5185b506caccdbd81abc7ebe6bcc244ceeaa03b822633cf993c6b1f9f01f09d,unique_jaccard,True
emory|svm_l1|low,Emory,SVM-L1,Small-cap,original_objective,regret_constrained,False,complete_from_saved_candidates,2,12,2,0.8632976375438399,0.0,1,,e5185b506caccdbd81abc7ebe6bcc244ceeaa03b822633cf993c6b1f9f01f09d,singleton_direct,
emory|svm_l1|low,Emory,SVM-L1,Small-cap,updated_objective,original_top_three,False,complete_from_saved_candidates,5,11,1,0.8501105171180928,0.0,3,0.17205882352941176,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,higher_score,
emory|svm_l1|low,Emory,SVM-L1,Small-cap,updated_objective,regret_constrained,False,complete_from_saved_candidates,5,11,1,0.8501105171180928,0.0,3,0.17205882352941176,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,higher_score,True
emory|xgboost|reference,Emory,XGBoost,Reference-cap,original_objective,original_top_three,False,complete_from_saved_candidates,1,20,3,0.8206914964893934,0.0,3,0.16488413547237077,ba0703023c26ac3c7472ba39f6b9af681f9fe61f3cd67214e08b7d024a7a317b,higher_score,True
emory|xgboost|reference,Emory,XGBoost,Reference-cap,original_objective,regret_constrained,False,complete_from_saved_candidates,1,20,3,0.8206914964893934,0.0,2,0.21212121212121213,ba0703023c26ac3c7472ba39f6b9af681f9fe61f3cd67214e08b7d024a7a317b,higher_score,
emory|xgboost|reference,Emory,XGBoost,Reference-cap,updated_objective,original_top_three,False,complete_from_saved_candidates,1,20,3,0.8234597012852847,0.0,3,0.14756944444444445,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,unique_jaccard,
emory|xgboost|reference,Emory,XGBoost,Reference-cap,updated_objective,regret_constrained,False,complete_from_saved_candidates,1,20,3,0.8234597012852847,0.0,3,0.14756944444444445,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,unique_jaccard,True
emory|xgboost|low,Emory,XGBoost,Small-cap,original_objective,original_top_three,False,complete_from_saved_candidates,5,22,13,0.8193700973799736,0.0,3,0.18709150326797386,4e0df25200ef72987c74ba3a162b55aa8a39dd456516ac71a2b7de847f20629b,unique_jaccard,True
emory|xgboost|low,Emory,XGBoost,Small-cap,original_objective,regret_constrained,False,complete_from_saved_candidates,5,22,13,0.8193700973799736,0.0,2,0.23529411764705882,4e0df25200ef72987c74ba3a162b55aa8a39dd456516ac71a2b7de847f20629b,higher_score,
emory|xgboost|low,Emory,XGBoost,Small-cap,updated_objective,original_top_three,False,complete_from_saved_candidates,1,20,11,0.8234597012852847,0.0,3,0.13194444444444445,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,unique_jaccard,
emory|xgboost|low,Emory,XGBoost,Small-cap,updated_objective,regret_constrained,False,complete_from_saved_candidates,1,20,11,0.8234597012852847,0.0,3,0.13194444444444445,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,unique_jaccard,True
mayo|boruta_rf|reference,Mayo,Boruta-RF,Reference-cap,original_objective,original_top_three,False,complete_from_saved_candidates,2,24,0,0.8824375665218811,0.0,3,0.23401450230718523,566094e0daac832ff12a2a1b8c39a2b1d27da409fe8274f1db2c7060b0f6d378,unique_jaccard,True
mayo|boruta_rf|reference,Mayo,Boruta-RF,Reference-cap,original_objective,regret_constrained,False,complete_from_saved_candidates,2,24,0,0.8824375665218811,0.0,2,0.17073170731707318,566094e0daac832ff12a2a1b8c39a2b1d27da409fe8274f1db2c7060b0f6d378,higher_score,
