center,branch,cap,rfecv_target,selected_run_id,selected_seed,selected_source_run_ids,selected_feature_count,selected_locking_score,selected_absolute_regret,eligible_pool_size,eligible_run_ids,selected_mean_jaccard,selected_stable_mask_hash,selected_duplicate_multiplicity,tie_break_path,duplicate_mask_policy,candidate_universe_sha256,held_out_used
emory,boruta_rf,low,12,2,43,[2],12,0.8488077350567101,0.0,3,"[1, 2, 3]",0.19407894736842105,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,False
emory,boruta_rf,reference,25,1,42,[1],25,0.8628716536421569,0.0,3,"[1, 3, 4]",0.30067567567567566,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,False
emory,svm_l1,low,10,5,46,[5],11,0.8501105171180928,0.0,3,"[1, 2, 5]",0.17205882352941176,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,39782e5314aa722f5ea0b9db1a962bd87970157ab1604a20fa1f953c71246d5c,False
emory,svm_l1,reference,19,5,46,[5],19,0.8608860826345524,0.00834728281765218,4,"[1, 2, 3, 5]",0.31138478379857687,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,39782e5314aa722f5ea0b9db1a962bd87970157ab1604a20fa1f953c71246d5c,False
emory,xgboost,low,9,1,42,[1],20,0.8234597012852847,0.0,3,"[1, 2, 3]",0.13194444444444445,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,66fd29861608f368700f7ffc2793959554b6607c59513f71226fcb5e22f7f8d7,False
emory,xgboost,reference,17,1,42,[1],20,0.8234597012852847,0.0,3,"[1, 2, 3]",0.14756944444444445,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,66fd29861608f368700f7ffc2793959554b6607c59513f71226fcb5e22f7f8d7,False
mayo,boruta_rf,low,13,1,42,[1],13,0.869409091515904,0.0,2,"[1, 5]",0.11538461538461539,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,86418699b3c59b0d1cb3329102078d3ff1f2d99f7cb33fb746ee506b9e7b3c3e,False
mayo,boruta_rf,reference,24,5,46,[5],24,0.8766628884968876,0.0020035105652221885,5,"[1, 2, 3, 4, 5]",0.24065301229935376,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,86418699b3c59b0d1cb3329102078d3ff1f2d99f7cb33fb746ee506b9e7b3c3e,False
mayo,svm_l1,low,10,3,44,[3],28,0.8803010945693872,0.0,3,"[1, 3, 5]",0.16843971631205673,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,2d206be0982294d53a592a1d57c44754aa20cbe4dad7dbc954ea004810124bc8,False
mayo,svm_l1,reference,20,3,44,[3],28,0.8803010945693872,0.0,3,"[1, 3, 5]",0.16843971631205673,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,2d206be0982294d53a592a1d57c44754aa20cbe4dad7dbc954ea004810124bc8,False
mayo,xgboost,low,10,3,44,[3],22,0.8507659468953624,0.0,2,"[3, 5]",0.1794871794871795,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,f1c94ee73d1bb7bb8f9686246e885910e79d6e3fd49d5050adc4db76f7df29fd,False
mayo,xgboost,reference,20,3,44,[3],22,0.8507659468953624,0.0,2,"[3, 5]",0.1794871794871795,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,f1c94ee73d1bb7bb8f9686246e885910e79d6e3fd49d5050adc4db76f7df29fd,False
mount_sinai,boruta_rf,low,13,3,44,[3],24,0.8803842122311307,0.005969330777105819,3,"[2, 3, 4]",0.17857142857142855,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,1feb240b01a2548068cce32753fdc2fceed1cb5011f50aa74b980d3917e77393,False
mount_sinai,boruta_rf,reference,22,3,44,[3],24,0.8803842122311307,0.005969330777105819,3,"[2, 3, 4]",0.17857142857142855,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,1feb240b01a2548068cce32753fdc2fceed1cb5011f50aa74b980d3917e77393,False
mount_sinai,svm_l1,low,10,1,42,[1],12,0.8796456339837061,0.0,3,"[1, 2, 4]",0.3125,9b053e7c9f29a18a36abf713b8af7b2b4e3e0face73e4f161c21976ce286dbb6,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,fc7c138f9aaafa274e8dbcec79eb69741bc332f77ba7934c034013ee5fb0fe6d,False
mount_sinai,svm_l1,reference,17,5,46,[5],17,0.8920246270544959,0.003702196570253058,5,"[1, 2, 3, 4, 5]",0.2732010582010582,9b71f021efc232b98d65e91c4b50b09032a7b4b1ff04d8be091e9c2d56ccba06,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,fc7c138f9aaafa274e8dbcec79eb69741bc332f77ba7934c034013ee5fb0fe6d,False
mount_sinai,xgboost,low,10,4,45,[4],24,0.8722208719829501,0.0,2,"[3, 4]",0.125,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,f6c4212a8f0af437bc19f52b48204284ffc83ae1cbd1b9602302f14601ae9a6c,False
mount_sinai,xgboost,reference,19,4,45,[4],24,0.8722208719829501,0.0,2,"[3, 4]",0.125,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,f6c4212a8f0af437bc19f52b48204284ffc83ae1cbd1b9602302f14601ae9a6c,False
