center,branch,cap,rfecv_target,selected_run_id,selected_seed,selected_source_run_ids,selected_feature_count,selected_locking_score,selected_absolute_regret,eligible_pool_size,eligible_run_ids,selected_mean_jaccard,selected_stable_mask_hash,selected_duplicate_multiplicity,tie_break_path,duplicate_mask_policy,candidate_universe_sha256,held_out_used,selected_absolute_target_deviation,run_best_absolute_target_deviation_sum,run_best_absolute_target_deviation_mean,exact_target_runs,diagnostic_zero_legacy_run_best_count,diagnostic_all_zero_legacy_fitness_generations,actual_uniform_sampling_fallback_generations,unique_run_best_masks,condition_runtime_seconds,selected_run_raw_untruncated_objective,legacy_target_count,legacy_locked_feature_count,legacy_absolute_target_deviation,legacy_zero_run_best_fraction,legacy_all_zero_generations,legacy_uniform_sampling_fallbacks,legacy_locking_score,legacy_selected_run_id,legacy_zero_run_best_count,locking_score_difference_recommended_minus_legacy,target_deviation_change_recommended_minus_legacy
emory,boruta_rf,low,12,2,43,[2],12,0.8488077350567101,0.0,3,"[1, 2, 3]",0.194078947368421,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,False,0,4,0.8,3,0,0,0,5,7983.915401771999,0.6748815149158848,12,16,4,0.0,0,0,0.8447479419565547,3,0,0.004059793100155473,-4
emory,boruta_rf,reference,25,1,42,[1],25,0.8628716536421569,0.0,3,"[1, 3, 4]",0.3006756756756756,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,False,0,0,0.0,5,0,0,0,5,7882.855364793,0.6829366908836038,25,25,0,0.0,0,0,0.8584641872733197,1,0,0.004407466368837154,0
emory,svm_l1,low,10,5,46,[5],11,0.8501105171180928,0.0,3,"[1, 2, 5]",0.1720588235294117,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,39782e5314aa722f5ea0b9db1a962bd87970157ab1604a20fa1f953c71246d5c,False,1,2,0.4,3,0,0,0,5,7915.49062829,0.6884053246587928,10,12,2,0.0,0,0,0.8632976375438399,2,0,-0.0131871204257471,-1
emory,svm_l1,reference,19,5,46,[5],19,0.8608860826345524,0.0083472828176521,4,"[1, 2, 3, 5]",0.3113847837985768,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,39782e5314aa722f5ea0b9db1a962bd87970157ab1604a20fa1f953c71246d5c,False,0,0,0.0,5,0,0,0,5,7793.334186317002,0.7005219984571096,19,19,0,0.0,0,0,0.8629304181159428,5,0,-0.0020443354813904913,0
emory,xgboost,low,9,1,42,[1],20,0.8234597012852847,0.0,3,"[1, 2, 3]",0.1319444444444444,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,66fd29861608f368700f7ffc2793959554b6607c59513f71226fcb5e22f7f8d7,False,11,54,10.8,0,0,29,0,5,7988.684787062003,0.4343048021312132,9,22,13,0.0,55,55,0.8193700973799736,5,0,0.004089603905311101,-2
emory,xgboost,reference,17,1,42,[1],20,0.8234597012852847,0.0,3,"[1, 2, 3]",0.1475694444444444,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,66fd29861608f368700f7ffc2793959554b6607c59513f71226fcb5e22f7f8d7,False,3,15,3.0,1,0,15,0,5,8226.77457301,0.5543048021312131,17,20,3,0.0,23,23,0.8206914964893934,1,0,0.002768204795891238,0
mayo,boruta_rf,low,13,1,42,[1],13,0.869409091515904,0.0,2,"[1, 5]",0.1153846153846153,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,86418699b3c59b0d1cb3329102078d3ff1f2d99f7cb33fb746ee506b9e7b3c3e,False,0,7,1.4,1,0,5,0,5,8085.863814426997,0.7149644225506295,13,22,9,0.0,5,5,0.8705392680863664,3,0,-0.0011301765704624378,-9
mayo,boruta_rf,reference,24,5,46,[5],24,0.8766628884968876,0.0020035105652221,5,"[1, 2, 3, 4, 5]",0.2406530122993537,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,86418699b3c59b0d1cb3329102078d3ff1f2d99f7cb33fb746ee506b9e7b3c3e,False,0,1,0.2,4,0,0,0,5,7809.840346878998,0.7251943076081007,24,24,0,0.0,0,0,0.8824375665218811,2,0,-0.00577467802499354,0
mayo,svm_l1,low,10,3,44,[3],28,0.8803010945693872,0.0,3,"[1, 3, 5]",0.1684397163120567,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,2d206be0982294d53a592a1d57c44754aa20cbe4dad7dbc954ea004810124bc8,False,18,83,16.6,0,0,37,0,5,7609.837302248001,0.43709359605911324,10,26,16,0.0,55,55,0.8803417953413748,5,0,-4.070077198758959e-05,2
mayo,svm_l1,reference,20,3,44,[3],28,0.8803010945693872,0.0,3,"[1, 3, 5]",0.1684397163120567,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,1,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,retain_multiplicity_as_voting_candidates,2d206be0982294d53a592a1d57c44754aa20cbe4dad7dbc954ea004810124bc8,False,8,33,6.6,0,0,19,0,5,7506.279966713,0.5870935960591133,20,23,3,0.0,24,24,0.8800283298259538,5,0,0.00027276474343340684,5
